Name,Status,"Population
Census
2000-05-01","Population
Census
2010-05-01","Population
Census
2015-08-01","Population
Census
2020-05-01"
Burol,Barangay,"5,937","9,526","8,260","11,902"
Burol I,Barangay,"6,425","14,912","15,751","17,287"
Burol II,Barangay,"4,299","4,442","4,838","6,025"
Burol III,Barangay,"5,663","8,473","9,077","10,921"
Datu Esmael (Bago-a-ingud),Barangay,"16,726","9,079","13,112","7,969"
Emmanuel Bergado I,Barangay,"3,982","6,653","7,386","8,002"
Emmanuel Bergado II,Barangay,"2,389","2,714","2,982","2,796"
Fatima I,Barangay,"5,542","5,855","6,291","6,782"
Fatima II,Barangay,"3,617","3,864","4,023","4,305"
Fatima III,Barangay,"2,638","3,658","3,712","3,684"
H-2,Barangay,...,"9,182","9,477","9,306"
Langkaan I,Barangay,"6,981","13,629","21,426","26,939"
Langkaan II,Barangay,"13,861","25,350","30,197","33,651"
Luzviminda I,Barangay,"2,565","3,080","3,285","3,565"
Luzviminda II,Barangay,"3,900","4,346","4,688","4,868"
Paliparan I,Barangay,"2,450","5,971","7,153","10,125"
Paliparan II,Barangay,"8,668","15,233","17,881","20,804"
Paliparan III,Barangay,"41,511","59,838","68,224","72,945"
Sabang,Barangay,"7,421","13,332","14,680","17,329"
Saint Peter I,Barangay,"1,991","2,347","2,553","2,287"
Saint Peter II,Barangay,"2,091","2,238","2,462","2,471"
Salawag,Barangay,"28,994","61,441","80,136","78,778"
Salitran I,Barangay,"3,381","3,694","5,626","5,158"
Salitran II,Barangay,"6,070","9,524","11,371","12,337"
Salitran III,Barangay,"10,310","14,681","14,949","15,396"
Salitran IV,Barangay,"4,165","5,984","8,643","11,819"
Sampaloc I,Barangay,"4,181","5,539","6,612","7,662"
Sampaloc II,Barangay,"6,544","10,170","14,127","18,225"
Sampaloc III,Barangay,"2,710","8,035","10,469","13,807"
Sampaloc IV,Barangay,"7,085","35,655","39,950","41,678"
Sampaloc V,Barangay,"3,433","3,146","3,224","3,252"
San Agustin I,Barangay,"7,671","9,523","8,471","11,971"
San Agustin II,Barangay,"4,566","9,271","10,514","11,692"
San Agustin III,Barangay,"6,961","10,046","10,204","10,178"
San Andres I,Barangay,"2,889","3,132","3,173","4,259"
San Andres II,Barangay,"2,869","3,294","3,455","3,405"
San Antonio De Padua I,Barangay,"2,695","3,052","3,110","3,407"
San Antonio De Padua II,Barangay,"2,634","2,880","3,091","3,062"
San Dionisio (Barangay 1),Barangay,"5,526","6,342","6,980","6,741"
San Esteban (Barangay 4),Barangay,"5,232","4,300","4,219","4,583"
San Francisco I,Barangay,"2,685","2,732","3,030","3,099"
San Francisco II,Barangay,"2,772","3,288","3,495","3,363"
San Isidro Labrador I,Barangay,"4,385","4,278","5,237","4,834"
San Isidro Labrador II,Barangay,"1,888","2,090","2,194","2,463"
San Jose,Barangay,"6,670","10,702","8,955","11,925"
San Juan (San Juan I),Barangay,"3,212","3,521","3,612","3,667"
San Lorenzo Ruiz I,Barangay,"3,012","3,059","3,190","3,311"
San Lorenzo Ruiz II,Barangay,"2,951","3,657","4,109","4,275"
San Luis I,Barangay,"3,190","3,417","3,921","3,963"
San Luis II,Barangay,"3,439","4,042","4,524","4,336"
San Manuel I,Barangay,"2,690","2,580","2,703","2,822"
San Manuel II,Barangay,"2,632","2,742","3,037","2,581"
San Mateo,Barangay,"4,275","4,512","4,877","4,950"
San Miguel,Barangay,"3,692","3,661","4,240","4,118"
San Miguel II,Barangay,"1,909","2,186","2,390","2,272"
San Nicolas I,Barangay,"1,170","1,937","2,005","2,071"
San Nicolas II,Barangay,"2,770","4,595","4,851","4,576"
San Roque (Sta. Cristina II),Barangay,"2,378","2,623","2,949","2,855"
San Simon (Barangay 7),Barangay,"13,598","7,095","6,909","6,242"
Santa Cristina I,Barangay,"2,752","3,237","3,219","3,307"
Santa Cristina II,Barangay,"2,861","3,490","3,782","3,505"
Santa Cruz I,Barangay,"3,844","4,664","4,864","5,112"
Santa Cruz II,Barangay,"1,981","2,222","2,323","2,138"
Santa Fe,Barangay,"4,028","6,263","6,750","6,314"
Santa Lucia (San Juan II),Barangay,"4,117","5,762","6,754","5,534"
Santa Maria (Barangay 20),Barangay,"4,197","4,785","5,135","5,068"
Santo Cristo (Barangay 3),Barangay,"4,179","4,380","4,635","4,551"
Santo Niño I,Barangay,"2,325","2,693","2,847","2,859"
Santo Niño II,Barangay,"2,169","2,566","2,736","2,737"
Victoria Reyes,Barangay,...,"14,631","14,248","13,838"
Zone I,Barangay,"3,143","3,405","3,756","4,219"
Zone I-B,Barangay,"3,468","4,314","6,263","5,595"
Zone II,Barangay,853,"1,104","1,258","1,677"
Zone III,Barangay,"1,348","3,206","5,168","3,821"
Zone IV,Barangay,"2,364","2,947","3,271","3,770"
Dasmariñas,City,"379,520","575,817","659,019","703,141"
