Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,AccountLength,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,PaymentMethod,Monthly Charge,ServiceUsage,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Churn Category,Churn Reason
8779-QRDMV,Male,78,No,Yes,No,No,0,United States,California,Los Angeles,90022,34.02381,-118.156582,68701,Q3,No,0,1,,No,0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0,20,0,59.65,3,Churned,Yes,91,5433,Competitor,Competitor offered more data
7495-OOKFY,Female,74,No,Yes,Yes,Yes,1,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,Q3,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0,0,390.8,1024.1,3,Churned,Yes,69,5302,Competitor,Competitor made better offer
1658-BYGOY,Male,71,No,Yes,No,Yes,3,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,Q3,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,Churned,Yes,81,3179,Competitor,Competitor made better offer
4598-XLKNJ,Female,78,No,Yes,Yes,Yes,1,United States,California,Inglewood,90303,33.936291,-118.332639,27778,Q3,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494,2995.07,2,Churned,Yes,88,5337,Dissatisfaction,Limited range of services
4846-WHAFZ,Female,80,No,Yes,Yes,Yes,1,United States,California,Whittier,90602,33.972119,-118.020188,26265,Q3,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0,0,234.21,3102.36,2,Churned,No,67,2793,Price,Extra data charges
4412-YLTKF,Female,72,No,Yes,No,Yes,1,United States,California,Pico Rivera,90660,33.989524,-118.089299,63288,Q3,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0,10,89.91,2235.41,1,Churned,Yes,95,4638,Competitor,Competitor had better devices
0390-DCFDQ,Female,76,No,Yes,Yes,Yes,2,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,Q3,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73,2,Churned,Yes,76,3964,Other,Don't know
3445-HXXGF,Male,66,No,Yes,Yes,No,0,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,Q3,Yes,6,58,Offer B,No,0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0,2610.25,1,Churned,No,91,5444,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,Female,70,No,Yes,No,Yes,2,United States,California,Pasadena,91106,34.139402,-118.128658,23742,Q3,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0,0,661.05,1806.75,2,Churned,Yes,91,5717,Dissatisfaction,Limited range of services
2070-FNEXE,Female,77,No,Yes,No,Yes,2,United States,California,Pasadena,91107,34.159007,-118.087353,32369,Q3,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,Churned,Yes,81,4419,Price,Lack of affordable download/upload speed
0094-OIFMO,Female,78,No,Yes,No,Yes,1,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,Q3,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,0,120,127.49,1367.79,1,Churned,Yes,85,5980,Dissatisfaction,Product dissatisfaction
9947-OTFQU,Male,65,No,Yes,No,No,0,United States,California,Covina,91722,34.097345,-117.906736,33817,Q3,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0,0,436.65,1510.95,1,Churned,Yes,86,4616,Competitor,Competitor had better devices
9514-JDSKI,Male,77,No,Yes,Yes,No,0,United States,California,El Monte,91732,34.074492,-118.01462,62660,Q3,Yes,1,1,Offer E,No,0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0,0,0,40.2,2,Churned,Yes,65,5828,Dissatisfaction,Limited range of services
7273-TEFQD,Male,67,No,Yes,No,No,0,United States,California,La Puente,91746,34.038983,-117.991372,30802,Q3,No,0,3,Offer E,No,0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0,0,0,132.2,2,Churned,Yes,96,2314,Price,Long distance charges
3606-TWKGI,Male,68,No,Yes,No,No,0,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342,Q3,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0,10,424.84,1799.14,1,Churned,Yes,84,2494,Competitor,Competitor had better devices
4385-GZQXV,Female,68,No,Yes,No,No,0,United States,California,Ontario,91764,34.074087,-117.605618,49474,Q3,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0,0,150.88,1662.08,1,Churned,Yes,81,3810,Competitor,Competitor had better devices
3488-PGMQJ,Male,66,No,Yes,No,No,0,United States,California,Alpine,91901,32.827184,-116.703729,16486,Q3,No,0,8,,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0,0,14.24,620.79,2,Churned,Yes,80,4345,Dissatisfaction,Poor expertise of online support
7534-BFESC,Male,69,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0,0,740.88,2453.58,2,Churned,Yes,91,2018,Competitor,Competitor made better offer
8098-LLAZX,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0,0,126.44,522.54,3,Churned,Yes,85,3677,Competitor,Competitor made better offer
0265-EDXBD,Male,76,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0,0,1514.88,3818.23,2,Churned,No,69,4105,Attitude,Attitude of support person
2840-XANRC,Male,77,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0,0,386.4,2617.45,2,Churned,Yes,73,2212,Competitor,Competitor made better offer
5020-ZSTTY,Female,70,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0,0,652.32,5002.42,1,Churned,No,83,4149,Competitor,Competitor made better offer
5804-LEPIM,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0,0,26.34,165.39,3,Churned,Yes,73,2671,Other,Don't know
0623-IIHUG,Female,77,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,21,,No,0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0,0,0,840.1,1,Churned,Yes,90,4778,Competitor,Competitor made better offer
9057-MSWCO,Male,71,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,27,,No,0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0,140,0,945.1,1,Churned,Yes,91,2927,Competitor,Competitor made better offer
4895-TMWIR,Male,79,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,1,11,,Yes,29.54,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0,0,324.94,539.69,1,Churned,Yes,80,5888,Competitor,Competitor made better offer
0533-BNWKF,Female,66,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0,90,2355.1,7319.8,1,Churned,No,91,5502,Competitor,Competitor made better offer
